pred1,pred2,tta1,tta2
hispa,hispa,hispa,hispa
normal,normal,normal,normal
blast,blast,blast,blast
blast,blast,blast,blast
blast,blast,blast,blast
brown_spot,brown_spot,brown_spot,brown_spot
dead_heart,dead_heart,dead_heart,dead_heart
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
hispa,hispa,hispa,hispa
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
blast,blast,blast,blast
tungro,tungro,tungro,tungro
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
tungro,tungro,tungro,tungro
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
hispa,hispa,hispa,hispa
blast,blast,blast,blast
brown_spot,brown_spot,brown_spot,brown_spot
dead_heart,dead_heart,dead_heart,dead_heart
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
brown_spot,brown_spot,brown_spot,brown_spot
brown_spot,brown_spot,brown_spot,brown_spot
dead_heart,dead_heart,dead_heart,dead_heart
hispa,hispa,hispa,hispa
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
tungro,tungro,tungro,tungro
tungro,tungro,tungro,tungro
brown_spot,brown_spot,brown_spot,brown_spot
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
hispa,hispa,hispa,hispa
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
blast,blast,blast,blast
brown_spot,brown_spot,brown_spot,brown_spot
bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
tungro,tungro,tungro,tungro
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
normal,normal,normal,normal
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
hispa,hispa,hispa,hispa
tungro,tungro,tungro,tungro
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
tungro,tungro,tungro,tungro
brown_spot,brown_spot,brown_spot,brown_spot
tungro,tungro,tungro,tungro
tungro,tungro,tungro,tungro
tungro,tungro,tungro,tungro
brown_spot,brown_spot,brown_spot,brown_spot
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
dead_heart,dead_heart,dead_heart,dead_heart
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
downy_mildew,downy_mildew,downy_mildew,downy_mildew
downy_mildew,downy_mildew,downy_mildew,downy_mildew
dead_heart,dead_heart,dead_heart,dead_heart
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
dead_heart,dead_heart,dead_heart,dead_heart
dead_heart,dead_heart,dead_heart,dead_heart
bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight
dead_heart,dead_heart,dead_heart,dead_heart
downy_mildew,downy_mildew,downy_mildew,downy_mildew
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
tungro,tungro,tungro,tungro
blast,blast,blast,blast
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
hispa,hispa,hispa,hispa
normal,normal,normal,normal
hispa,hispa,hispa,hispa
tungro,tungro,tungro,tungro
blast,blast,blast,blast
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
hispa,hispa,hispa,hispa
hispa,hispa,hispa,hispa
hispa,hispa,hispa,hispa
downy_mildew,downy_mildew,downy_mildew,downy_mildew
normal,normal,normal,normal
blast,blast,blast,blast
blast,tungro,blast,tungro
tungro,tungro,tungro,tungro
tungro,tungro,tungro,tungro
blast,blast,blast,blast
hispa,hispa,hispa,hispa
blast,blast,blast,blast
normal,normal,normal,normal
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
hispa,hispa,hispa,hispa
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
brown_spot,brown_spot,brown_spot,brown_spot
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
blast,blast,blast,blast
hispa,hispa,hispa,hispa
blast,blast,blast,blast
hispa,hispa,hispa,hispa
blast,blast,blast,blast
bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
hispa,hispa,hispa,hispa
normal,normal,normal,normal
downy_mildew,downy_mildew,downy_mildew,downy_mildew
brown_spot,brown_spot,brown_spot,brown_spot
normal,normal,normal,normal
brown_spot,brown_spot,brown_spot,brown_spot
blast,blast,blast,blast
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
blast,blast,blast,blast
blast,blast,blast,blast
blast,blast,blast,blast
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
dead_heart,dead_heart,dead_heart,dead_heart
dead_heart,dead_heart,dead_heart,dead_heart
hispa,hispa,hispa,hispa
blast,blast,blast,blast
downy_mildew,downy_mildew,downy_mildew,downy_mildew
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
downy_mildew,downy_mildew,downy_mildew,downy_mildew
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
brown_spot,brown_spot,brown_spot,brown_spot
tungro,tungro,tungro,tungro
normal,normal,normal,normal
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
tungro,tungro,tungro,tungro
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
tungro,tungro,tungro,tungro
tungro,tungro,tungro,tungro
brown_spot,brown_spot,brown_spot,brown_spot
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
normal,normal,normal,normal
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
brown_spot,brown_spot,brown_spot,brown_spot
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
tungro,tungro,tungro,tungro
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,brown_spot
downy_mildew,downy_mildew,downy_mildew,downy_mildew
normal,normal,normal,normal
blast,blast,blast,blast
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
hispa,hispa,hispa,hispa
blast,blast,blast,blast
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
blast,blast,blast,blast
normal,hispa,normal,hispa
normal,normal,normal,normal
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight
normal,normal,normal,normal
blast,blast,blast,blast
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
tungro,tungro,tungro,tungro
blast,blast,blast,blast
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
downy_mildew,downy_mildew,downy_mildew,downy_mildew
tungro,tungro,tungro,tungro
normal,normal,normal,normal
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
tungro,tungro,tungro,tungro
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
tungro,tungro,tungro,tungro
normal,normal,normal,normal
brown_spot,brown_spot,brown_spot,brown_spot
blast,blast,blast,blast
brown_spot,brown_spot,brown_spot,brown_spot
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
brown_spot,brown_spot,brown_spot,brown_spot
downy_mildew,downy_mildew,downy_mildew,downy_mildew
dead_heart,dead_heart,dead_heart,dead_heart
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
hispa,hispa,hispa,hispa
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
blast,blast,blast,blast
downy_mildew,downy_mildew,downy_mildew,downy_mildew
brown_spot,brown_spot,brown_spot,brown_spot
normal,normal,normal,normal
blast,blast,blast,blast
blast,blast,blast,blast
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
brown_spot,brown_spot,brown_spot,brown_spot
blast,blast,blast,blast
hispa,hispa,hispa,hispa
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
brown_spot,brown_spot,brown_spot,brown_spot
tungro,tungro,tungro,tungro
hispa,hispa,hispa,hispa
hispa,hispa,hispa,hispa
blast,blast,blast,blast
blast,blast,blast,blast
normal,normal,normal,normal
bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight,bacterial_panicle_blight
blast,blast,blast,blast
downy_mildew,downy_mildew,downy_mildew,downy_mildew
brown_spot,brown_spot,brown_spot,brown_spot
blast,blast,blast,blast
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
blast,blast,blast,blast
blast,blast,blast,blast
hispa,hispa,hispa,hispa
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
brown_spot,brown_spot,brown_spot,brown_spot
normal,normal,normal,normal
normal,normal,normal,normal
blast,blast,blast,blast
tungro,tungro,tungro,tungro
hispa,hispa,hispa,hispa
hispa,hispa,hispa,hispa
blast,blast,blast,blast
tungro,tungro,tungro,tungro
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
normal,normal,normal,normal
tungro,tungro,tungro,tungro
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight,bacterial_leaf_blight
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
hispa,hispa,hispa,hispa
brown_spot,brown_spot,brown_spot,brown_spot
normal,normal,normal,normal
dead_heart,dead_heart,dead_heart,dead_heart
normal,normal,normal,normal
brown_spot,brown_spot,brown_spot,brown_spot
normal,normal,normal,normal
bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak,bacterial_leaf_streak
normal,normal,normal,normal
blast,blast,blast,blast
normal,normal,normal,normal
brown_spot,brown_spot,brown_spot,brown_spot
hispa,hispa,hispa,hispa
normal,normal,normal,normal
hispa,hispa,hispa,hispa
tungro,tungro,tungro,tungro
normal,normal,normal,normal
blast,blast,blast,blast
hispa,hispa,hispa,hispa
normal,normal,normal,normal
blast,blast,blast,blast
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
tungro,tungro,tungro,tungro
tungro,tungro,tungro,tungro
dead_heart,dead_heart,dead_heart,dead_heart
blast,blast,blast,blast
blast,blast,blast,blast
normal,normal,normal,normal
downy_mildew,downy_mildew,downy_mildew,downy_mildew
