image_id,label,label_1,label_2
200001.jpg,,hispa,dead_heart
200002.jpg,,normal,dead_heart
200003.jpg,,blast,dead_heart
200004.jpg,,blast,dead_heart
200005.jpg,,blast,normal
200006.jpg,,brown_spot,dead_heart
200007.jpg,,dead_heart,dead_heart
200008.jpg,,brown_spot,dead_heart
200009.jpg,,hispa,dead_heart
200010.jpg,,normal,dead_heart
200011.jpg,,dead_heart,normal
200012.jpg,,hispa,dead_heart
200013.jpg,,normal,dead_heart
200014.jpg,,dead_heart,dead_heart
200015.jpg,,normal,dead_heart
200016.jpg,,blast,dead_heart
200017.jpg,,tungro,dead_heart
200018.jpg,,hispa,dead_heart
200019.jpg,,dead_heart,dead_heart
200020.jpg,,dead_heart,dead_heart
200021.jpg,,normal,dead_heart
200022.jpg,,tungro,dead_heart
200023.jpg,,bacterial_leaf_blight,dead_heart
200024.jpg,,dead_heart,dead_heart
200025.jpg,,blast,blast
200026.jpg,,hispa,dead_heart
200027.jpg,,blast,dead_heart
200028.jpg,,brown_spot,dead_heart
200029.jpg,,dead_heart,dead_heart
200030.jpg,,bacterial_leaf_streak,dead_heart
200031.jpg,,hispa,dead_heart
200032.jpg,,dead_heart,normal
200033.jpg,,brown_spot,dead_heart
200034.jpg,,brown_spot,blast
200035.jpg,,dead_heart,dead_heart
200036.jpg,,hispa,dead_heart
200037.jpg,,bacterial_leaf_blight,dead_heart
200038.jpg,,tungro,dead_heart
200039.jpg,,dead_heart,dead_heart
200040.jpg,,tungro,dead_heart
200041.jpg,,tungro,dead_heart
200042.jpg,,brown_spot,dead_heart
200043.jpg,,bacterial_leaf_streak,dead_heart
200044.jpg,,hispa,normal
200045.jpg,,bacterial_leaf_blight,dead_heart
200046.jpg,,bacterial_leaf_blight,dead_heart
200047.jpg,,blast,dead_heart
200048.jpg,,brown_spot,dead_heart
200049.jpg,,bacterial_panicle_blight,dead_heart
200050.jpg,,dead_heart,dead_heart
200051.jpg,,blast,blast
200052.jpg,,tungro,dead_heart
200053.jpg,,bacterial_leaf_blight,dead_heart
200054.jpg,,normal,dead_heart
200055.jpg,,hispa,dead_heart
200056.jpg,,dead_heart,dead_heart
200057.jpg,,hispa,dead_heart
200058.jpg,,tungro,dead_heart
200059.jpg,,bacterial_leaf_blight,dead_heart
200060.jpg,,hispa,dead_heart
200061.jpg,,dead_heart,dead_heart
200062.jpg,,tungro,blast
200063.jpg,,brown_spot,dead_heart
200064.jpg,,tungro,dead_heart
200065.jpg,,tungro,dead_heart
200066.jpg,,tungro,dead_heart
200067.jpg,,brown_spot,dead_heart
200068.jpg,,bacterial_leaf_streak,dead_heart
200069.jpg,,dead_heart,dead_heart
200070.jpg,,dead_heart,dead_heart
200071.jpg,,normal,blast
200072.jpg,,dead_heart,dead_heart
200073.jpg,,downy_mildew,dead_heart
200074.jpg,,downy_mildew,blast
200075.jpg,,dead_heart,dead_heart
200076.jpg,,brown_spot,blast
200077.jpg,,hispa,dead_heart
200078.jpg,,normal,dead_heart
200079.jpg,,tungro,dead_heart
200080.jpg,,dead_heart,normal
200081.jpg,,dead_heart,dead_heart
200082.jpg,,dead_heart,dead_heart
200083.jpg,,bacterial_panicle_blight,normal
200084.jpg,,dead_heart,dead_heart
200085.jpg,,downy_mildew,dead_heart
200086.jpg,,bacterial_leaf_blight,dead_heart
200087.jpg,,dead_heart,blast
200088.jpg,,normal,dead_heart
200089.jpg,,tungro,dead_heart
200090.jpg,,blast,dead_heart
200091.jpg,,brown_spot,dead_heart
200092.jpg,,hispa,normal
200093.jpg,,hispa,dead_heart
200094.jpg,,normal,dead_heart
200095.jpg,,hispa,dead_heart
200096.jpg,,tungro,dead_heart
200097.jpg,,blast,dead_heart
200098.jpg,,tungro,dead_heart
200099.jpg,,dead_heart,dead_heart
200100.jpg,,bacterial_leaf_blight,dead_heart
200101.jpg,,hispa,normal
200102.jpg,,hispa,dead_heart
200103.jpg,,hispa,dead_heart
200104.jpg,,downy_mildew,dead_heart
200105.jpg,,normal,dead_heart
200106.jpg,,blast,dead_heart
200107.jpg,,tungro,dead_heart
200108.jpg,,tungro,dead_heart
200109.jpg,,tungro,dead_heart
200110.jpg,,blast,dead_heart
200111.jpg,,hispa,dead_heart
200112.jpg,,blast,dead_heart
200113.jpg,,normal,dead_heart
200114.jpg,,hispa,dead_heart
200115.jpg,,dead_heart,dead_heart
200116.jpg,,hispa,dead_heart
200117.jpg,,normal,dead_heart
200118.jpg,,dead_heart,dead_heart
200119.jpg,,brown_spot,dead_heart
200120.jpg,,normal,dead_heart
200121.jpg,,dead_heart,dead_heart
200122.jpg,,blast,dead_heart
200123.jpg,,dead_heart,dead_heart
200124.jpg,,blast,dead_heart
200125.jpg,,blast,dead_heart
200126.jpg,,hispa,dead_heart
200127.jpg,,blast,dead_heart
200128.jpg,,hispa,dead_heart
200129.jpg,,blast,blast
200130.jpg,,bacterial_panicle_blight,dead_heart
200131.jpg,,brown_spot,dead_heart
200132.jpg,,hispa,dead_heart
200133.jpg,,hispa,dead_heart
200134.jpg,,normal,dead_heart
200135.jpg,,downy_mildew,dead_heart
200136.jpg,,brown_spot,dead_heart
200137.jpg,,normal,normal
200138.jpg,,brown_spot,dead_heart
200139.jpg,,blast,dead_heart
200140.jpg,,tungro,dead_heart
200141.jpg,,dead_heart,blast
200142.jpg,,bacterial_leaf_blight,bacterial_panicle_blight
200143.jpg,,blast,dead_heart
200144.jpg,,blast,dead_heart
200145.jpg,,blast,dead_heart
200146.jpg,,normal,dead_heart
200147.jpg,,dead_heart,dead_heart
200148.jpg,,blast,dead_heart
200149.jpg,,dead_heart,dead_heart
200150.jpg,,dead_heart,dead_heart
200151.jpg,,hispa,normal
200152.jpg,,blast,dead_heart
200153.jpg,,downy_mildew,dead_heart
200154.jpg,,bacterial_leaf_streak,dead_heart
200155.jpg,,downy_mildew,dead_heart
200156.jpg,,bacterial_leaf_streak,dead_heart
200157.jpg,,brown_spot,dead_heart
200158.jpg,,tungro,dead_heart
200159.jpg,,normal,dead_heart
200160.jpg,,bacterial_leaf_blight,dead_heart
200161.jpg,,tungro,dead_heart
200162.jpg,,hispa,normal
200163.jpg,,dead_heart,normal
200164.jpg,,bacterial_leaf_streak,normal
200165.jpg,,hispa,normal
200166.jpg,,dead_heart,dead_heart
200167.jpg,,blast,dead_heart
200168.jpg,,tungro,dead_heart
200169.jpg,,tungro,dead_heart
200170.jpg,,brown_spot,dead_heart
200171.jpg,,dead_heart,normal
200172.jpg,,blast,blast
200173.jpg,,normal,dead_heart
200174.jpg,,hispa,dead_heart
200175.jpg,,dead_heart,dead_heart
200176.jpg,,brown_spot,dead_heart
200177.jpg,,bacterial_leaf_blight,dead_heart
200178.jpg,,blast,dead_heart
200179.jpg,,brown_spot,dead_heart
200180.jpg,,hispa,normal
200181.jpg,,bacterial_leaf_streak,blast
200182.jpg,,downy_mildew,blast
200183.jpg,,normal,dead_heart
200184.jpg,,blast,blast
200185.jpg,,dead_heart,dead_heart
200186.jpg,,blast,dead_heart
200187.jpg,,hispa,normal
200188.jpg,,blast,blast
200189.jpg,,dead_heart,dead_heart
200190.jpg,,blast,dead_heart
200191.jpg,,blast,dead_heart
200192.jpg,,hispa,dead_heart
200193.jpg,,normal,dead_heart
200194.jpg,,brown_spot,dead_heart
200195.jpg,,hispa,bacterial_panicle_blight
200196.jpg,,bacterial_panicle_blight,dead_heart
200197.jpg,,normal,dead_heart
200198.jpg,,blast,normal
200199.jpg,,tungro,dead_heart
200200.jpg,,dead_heart,dead_heart
200201.jpg,,tungro,dead_heart
200202.jpg,,blast,dead_heart
200203.jpg,,bacterial_leaf_streak,dead_heart
200204.jpg,,downy_mildew,dead_heart
200205.jpg,,tungro,dead_heart
200206.jpg,,normal,dead_heart
200207.jpg,,bacterial_leaf_streak,normal
200208.jpg,,brown_spot,normal
200209.jpg,,hispa,dead_heart
200210.jpg,,tungro,dead_heart
200211.jpg,,bacterial_leaf_blight,dead_heart
200212.jpg,,tungro,dead_heart
200213.jpg,,normal,dead_heart
200214.jpg,,brown_spot,dead_heart
200215.jpg,,blast,dead_heart
200216.jpg,,brown_spot,dead_heart
200217.jpg,,dead_heart,dead_heart
200218.jpg,,blast,dead_heart
200219.jpg,,brown_spot,blast
200220.jpg,,downy_mildew,dead_heart
200221.jpg,,dead_heart,normal
200222.jpg,,hispa,dead_heart
200223.jpg,,dead_heart,dead_heart
200224.jpg,,normal,dead_heart
200225.jpg,,hispa,dead_heart
200226.jpg,,normal,blast
200227.jpg,,dead_heart,dead_heart
200228.jpg,,blast,dead_heart
200229.jpg,,blast,dead_heart
200230.jpg,,downy_mildew,dead_heart
200231.jpg,,brown_spot,dead_heart
200232.jpg,,normal,dead_heart
200233.jpg,,blast,dead_heart
200234.jpg,,blast,dead_heart
200235.jpg,,tungro,dead_heart
200236.jpg,,dead_heart,dead_heart
200237.jpg,,brown_spot,dead_heart
200238.jpg,,blast,dead_heart
200239.jpg,,hispa,dead_heart
200240.jpg,,brown_spot,dead_heart
200241.jpg,,hispa,dead_heart
200242.jpg,,brown_spot,dead_heart
200243.jpg,,tungro,dead_heart
200244.jpg,,hispa,dead_heart
200245.jpg,,hispa,dead_heart
200246.jpg,,blast,dead_heart
200247.jpg,,blast,dead_heart
200248.jpg,,normal,dead_heart
200249.jpg,,bacterial_panicle_blight,dead_heart
200250.jpg,,blast,dead_heart
200251.jpg,,downy_mildew,dead_heart
200252.jpg,,brown_spot,dead_heart
200253.jpg,,blast,dead_heart
200254.jpg,,dead_heart,dead_heart
200255.jpg,,blast,dead_heart
200256.jpg,,blast,dead_heart
200257.jpg,,blast,dead_heart
200258.jpg,,hispa,normal
200259.jpg,,dead_heart,dead_heart
200260.jpg,,blast,normal
200261.jpg,,bacterial_leaf_blight,dead_heart
200262.jpg,,bacterial_leaf_streak,dead_heart
200263.jpg,,brown_spot,dead_heart
200264.jpg,,normal,dead_heart
200265.jpg,,normal,dead_heart
200266.jpg,,blast,dead_heart
200267.jpg,,tungro,dead_heart
200268.jpg,,hispa,dead_heart
200269.jpg,,hispa,dead_heart
200270.jpg,,blast,dead_heart
200271.jpg,,tungro,dead_heart
200272.jpg,,bacterial_leaf_streak,dead_heart
200273.jpg,,normal,dead_heart
200274.jpg,,tungro,dead_heart
200275.jpg,,normal,dead_heart
200276.jpg,,dead_heart,dead_heart
200277.jpg,,normal,dead_heart
200278.jpg,,bacterial_leaf_blight,dead_heart
200279.jpg,,bacterial_leaf_streak,dead_heart
200280.jpg,,hispa,dead_heart
200281.jpg,,brown_spot,brown_spot
200282.jpg,,normal,dead_heart
200283.jpg,,dead_heart,normal
200284.jpg,,normal,dead_heart
200285.jpg,,brown_spot,dead_heart
200286.jpg,,normal,dead_heart
200287.jpg,,bacterial_leaf_streak,dead_heart
200288.jpg,,normal,normal
200289.jpg,,blast,dead_heart
200290.jpg,,normal,dead_heart
200291.jpg,,brown_spot,dead_heart
200292.jpg,,hispa,normal
200293.jpg,,normal,dead_heart
200294.jpg,,hispa,dead_heart
200295.jpg,,tungro,dead_heart
200296.jpg,,normal,dead_heart
200297.jpg,,blast,dead_heart
200298.jpg,,hispa,dead_heart
200299.jpg,,normal,dead_heart
200300.jpg,,blast,dead_heart
200301.jpg,,tungro,dead_heart
200302.jpg,,dead_heart,dead_heart
200303.jpg,,tungro,dead_heart
200304.jpg,,tungro,dead_heart
200305.jpg,,dead_heart,dead_heart
200306.jpg,,blast,dead_heart
200307.jpg,,blast,dead_heart
200308.jpg,,normal,dead_heart
200309.jpg,,bacterial_leaf_blight,dead_heart
200310.jpg,,tungro,dead_heart
200311.jpg,,normal,dead_heart
200312.jpg,,normal,dead_heart
200313.jpg,,normal,dead_heart
200314.jpg,,hispa,normal
200315.jpg,,blast,dead_heart
200316.jpg,,blast,dead_heart
200317.jpg,,hispa,dead_heart
200318.jpg,,dead_heart,dead_heart
200319.jpg,,normal,dead_heart
200320.jpg,,hispa,dead_heart
200321.jpg,,hispa,normal
200322.jpg,,downy_mildew,dead_heart
200323.jpg,,bacterial_leaf_blight,dead_heart
200324.jpg,,normal,dead_heart
200325.jpg,,tungro,dead_heart
200326.jpg,,blast,dead_heart
200327.jpg,,bacterial_leaf_streak,dead_heart
200328.jpg,,hispa,dead_heart
200329.jpg,,dead_heart,dead_heart
200330.jpg,,blast,dead_heart
200331.jpg,,normal,dead_heart
200332.jpg,,hispa,dead_heart
200333.jpg,,hispa,dead_heart
200334.jpg,,brown_spot,dead_heart
200335.jpg,,bacterial_panicle_blight,blast
200336.jpg,,bacterial_leaf_blight,normal
200337.jpg,,normal,dead_heart
200338.jpg,,brown_spot,dead_heart
200339.jpg,,dead_heart,dead_heart
200340.jpg,,dead_heart,dead_heart
200341.jpg,,normal,dead_heart
200342.jpg,,bacterial_leaf_streak,dead_heart
200343.jpg,,tungro,dead_heart
200344.jpg,,blast,dead_heart
200345.jpg,,blast,normal
200346.jpg,,brown_spot,dead_heart
200347.jpg,,brown_spot,dead_heart
200348.jpg,,hispa,dead_heart
200349.jpg,,tungro,dead_heart
200350.jpg,,blast,dead_heart
200351.jpg,,blast,dead_heart
200352.jpg,,blast,dead_heart
200353.jpg,,blast,blast
200354.jpg,,downy_mildew,dead_heart
200355.jpg,,downy_mildew,dead_heart
200356.jpg,,blast,dead_heart
200357.jpg,,bacterial_leaf_streak,dead_heart
200358.jpg,,hispa,dead_heart
200359.jpg,,normal,normal
200360.jpg,,blast,dead_heart
200361.jpg,,brown_spot,dead_heart
200362.jpg,,dead_heart,normal
200363.jpg,,downy_mildew,dead_heart
200364.jpg,,dead_heart,dead_heart
200365.jpg,,normal,dead_heart
200366.jpg,,blast,blast
200367.jpg,,normal,dead_heart
200368.jpg,,normal,blast
200369.jpg,,blast,normal
200370.jpg,,blast,dead_heart
200371.jpg,,tungro,dead_heart
200372.jpg,,normal,dead_heart
200373.jpg,,normal,dead_heart
200374.jpg,,blast,dead_heart
200375.jpg,,blast,dead_heart
200376.jpg,,brown_spot,dead_heart
200377.jpg,,blast,dead_heart
200378.jpg,,dead_heart,blast
200379.jpg,,blast,blast
200380.jpg,,normal,dead_heart
200381.jpg,,normal,normal
200382.jpg,,normal,dead_heart
200383.jpg,,normal,dead_heart
200384.jpg,,bacterial_leaf_blight,dead_heart
200385.jpg,,hispa,dead_heart
200386.jpg,,normal,dead_heart
200387.jpg,,blast,normal
200388.jpg,,blast,normal
200389.jpg,,dead_heart,dead_heart
200390.jpg,,normal,dead_heart
200391.jpg,,brown_spot,dead_heart
200392.jpg,,normal,dead_heart
200393.jpg,,bacterial_panicle_blight,dead_heart
200394.jpg,,normal,normal
200395.jpg,,hispa,dead_heart
200396.jpg,,normal,dead_heart
200397.jpg,,blast,normal
200398.jpg,,blast,dead_heart
200399.jpg,,brown_spot,dead_heart
200400.jpg,,normal,dead_heart
200401.jpg,,dead_heart,dead_heart
200402.jpg,,normal,dead_heart
200403.jpg,,hispa,dead_heart
200404.jpg,,hispa,dead_heart
200405.jpg,,brown_spot,dead_heart
200406.jpg,,blast,dead_heart
200407.jpg,,hispa,dead_heart
200408.jpg,,dead_heart,dead_heart
200409.jpg,,bacterial_leaf_blight,dead_heart
200410.jpg,,downy_mildew,normal
200411.jpg,,hispa,dead_heart
200412.jpg,,tungro,dead_heart
200413.jpg,,hispa,dead_heart
200414.jpg,,dead_heart,normal
200415.jpg,,bacterial_leaf_streak,dead_heart
200416.jpg,,blast,dead_heart
200417.jpg,,brown_spot,dead_heart
200418.jpg,,hispa,dead_heart
200419.jpg,,hispa,dead_heart
200420.jpg,,tungro,normal
200421.jpg,,brown_spot,dead_heart
200422.jpg,,hispa,dead_heart
200423.jpg,,bacterial_panicle_blight,dead_heart
200424.jpg,,tungro,dead_heart
200425.jpg,,normal,dead_heart
200426.jpg,,bacterial_panicle_blight,dead_heart
200427.jpg,,brown_spot,dead_heart
200428.jpg,,downy_mildew,dead_heart
200429.jpg,,blast,dead_heart
200430.jpg,,hispa,dead_heart
200431.jpg,,downy_mildew,dead_heart
200432.jpg,,bacterial_panicle_blight,dead_heart
200433.jpg,,hispa,normal
200434.jpg,,bacterial_leaf_blight,dead_heart
200435.jpg,,hispa,dead_heart
200436.jpg,,downy_mildew,dead_heart
200437.jpg,,dead_heart,dead_heart
200438.jpg,,normal,dead_heart
200439.jpg,,brown_spot,dead_heart
200440.jpg,,brown_spot,dead_heart
200441.jpg,,hispa,dead_heart
200442.jpg,,dead_heart,bacterial_panicle_blight
200443.jpg,,bacterial_panicle_blight,dead_heart
200444.jpg,,downy_mildew,dead_heart
200445.jpg,,dead_heart,dead_heart
200446.jpg,,blast,dead_heart
200447.jpg,,normal,dead_heart
200448.jpg,,tungro,blast
200449.jpg,,blast,dead_heart
200450.jpg,,dead_heart,dead_heart
200451.jpg,,dead_heart,dead_heart
200452.jpg,,brown_spot,bacterial_panicle_blight
200453.jpg,,tungro,dead_heart
200454.jpg,,blast,dead_heart
200455.jpg,,hispa,dead_heart
200456.jpg,,normal,normal
200457.jpg,,hispa,dead_heart
200458.jpg,,blast,normal
200459.jpg,,normal,dead_heart
200460.jpg,,hispa,dead_heart
200461.jpg,,brown_spot,dead_heart
200462.jpg,,hispa,dead_heart
200463.jpg,,blast,normal
200464.jpg,,hispa,dead_heart
200465.jpg,,brown_spot,bacterial_panicle_blight
200466.jpg,,tungro,dead_heart
200467.jpg,,normal,dead_heart
200468.jpg,,bacterial_leaf_streak,blast
200469.jpg,,blast,dead_heart
200470.jpg,,hispa,dead_heart
200471.jpg,,bacterial_leaf_blight,dead_heart
200472.jpg,,hispa,dead_heart
200473.jpg,,normal,dead_heart
200474.jpg,,hispa,dead_heart
200475.jpg,,brown_spot,dead_heart
200476.jpg,,dead_heart,dead_heart
200477.jpg,,blast,dead_heart
200478.jpg,,blast,dead_heart
200479.jpg,,normal,dead_heart
200480.jpg,,dead_heart,dead_heart
200481.jpg,,normal,dead_heart
200482.jpg,,tungro,blast
200483.jpg,,dead_heart,normal
200484.jpg,,tungro,dead_heart
200485.jpg,,bacterial_leaf_blight,dead_heart
200486.jpg,,hispa,dead_heart
200487.jpg,,hispa,dead_heart
200488.jpg,,brown_spot,dead_heart
200489.jpg,,normal,dead_heart
200490.jpg,,downy_mildew,normal
200491.jpg,,tungro,normal
200492.jpg,,tungro,dead_heart
200493.jpg,,dead_heart,dead_heart
200494.jpg,,blast,dead_heart
200495.jpg,,tungro,normal
