image_id,label,label_1,label_2,label_3
200001.jpg,,hispa,dead_heart,dead_heart
200002.jpg,,normal,dead_heart,normal
200003.jpg,,blast,dead_heart,dead_heart
200004.jpg,,blast,dead_heart,brown_spot
200005.jpg,,blast,normal,normal
200006.jpg,,brown_spot,dead_heart,tungro
200007.jpg,,dead_heart,dead_heart,dead_heart
200008.jpg,,brown_spot,dead_heart,dead_heart
200009.jpg,,hispa,dead_heart,brown_spot
200010.jpg,,normal,dead_heart,tungro
200011.jpg,,dead_heart,normal,normal
200012.jpg,,hispa,dead_heart,tungro
200013.jpg,,normal,dead_heart,dead_heart
200014.jpg,,dead_heart,dead_heart,tungro
200015.jpg,,normal,dead_heart,dead_heart
200016.jpg,,blast,dead_heart,tungro
200017.jpg,,tungro,dead_heart,tungro
200018.jpg,,hispa,dead_heart,tungro
200019.jpg,,dead_heart,dead_heart,tungro
200020.jpg,,dead_heart,dead_heart,tungro
200021.jpg,,normal,dead_heart,tungro
200022.jpg,,tungro,dead_heart,tungro
200023.jpg,,bacterial_leaf_blight,dead_heart,tungro
200024.jpg,,dead_heart,dead_heart,tungro
200025.jpg,,blast,blast,tungro
200026.jpg,,hispa,dead_heart,tungro
200027.jpg,,blast,dead_heart,tungro
200028.jpg,,brown_spot,dead_heart,tungro
200029.jpg,,dead_heart,dead_heart,dead_heart
200030.jpg,,bacterial_leaf_streak,dead_heart,tungro
200031.jpg,,hispa,dead_heart,tungro
200032.jpg,,dead_heart,normal,normal
200033.jpg,,brown_spot,dead_heart,tungro
200034.jpg,,brown_spot,blast,tungro
200035.jpg,,dead_heart,dead_heart,dead_heart
200036.jpg,,hispa,dead_heart,dead_heart
200037.jpg,,bacterial_leaf_blight,dead_heart,dead_heart
200038.jpg,,tungro,dead_heart,tungro
200039.jpg,,dead_heart,dead_heart,dead_heart
200040.jpg,,tungro,dead_heart,tungro
200041.jpg,,tungro,dead_heart,tungro
200042.jpg,,brown_spot,dead_heart,tungro
200043.jpg,,bacterial_leaf_streak,dead_heart,tungro
200044.jpg,,hispa,normal,normal
200045.jpg,,bacterial_leaf_blight,dead_heart,dead_heart
200046.jpg,,bacterial_leaf_blight,dead_heart,tungro
200047.jpg,,blast,dead_heart,tungro
200048.jpg,,brown_spot,dead_heart,tungro
200049.jpg,,bacterial_panicle_blight,dead_heart,brown_spot
200050.jpg,,dead_heart,dead_heart,tungro
200051.jpg,,blast,blast,brown_spot
200052.jpg,,tungro,dead_heart,tungro
200053.jpg,,bacterial_leaf_blight,dead_heart,tungro
200054.jpg,,normal,dead_heart,tungro
200055.jpg,,hispa,dead_heart,tungro
200056.jpg,,dead_heart,dead_heart,dead_heart
200057.jpg,,hispa,dead_heart,tungro
200058.jpg,,tungro,dead_heart,tungro
200059.jpg,,bacterial_leaf_blight,dead_heart,tungro
200060.jpg,,hispa,dead_heart,tungro
200061.jpg,,dead_heart,dead_heart,tungro
200062.jpg,,tungro,blast,tungro
200063.jpg,,brown_spot,dead_heart,tungro
200064.jpg,,tungro,dead_heart,tungro
200065.jpg,,tungro,dead_heart,dead_heart
200066.jpg,,tungro,dead_heart,tungro
200067.jpg,,brown_spot,dead_heart,tungro
200068.jpg,,bacterial_leaf_streak,dead_heart,tungro
200069.jpg,,dead_heart,dead_heart,dead_heart
200070.jpg,,dead_heart,dead_heart,tungro
200071.jpg,,normal,blast,tungro
200072.jpg,,dead_heart,dead_heart,tungro
200073.jpg,,downy_mildew,dead_heart,dead_heart
200074.jpg,,downy_mildew,blast,tungro
200075.jpg,,dead_heart,dead_heart,tungro
200076.jpg,,brown_spot,blast,brown_spot
